date,B.1.617.2,BA.1,BA.2,BA.3,B.1.617.2,Sum,Other
2021-11-19,1605,0,0,0,1605,1605,-1605
2021-11-20,1248,0,0,0,1248,1248,-1248
2021-11-21,366,0,0,0,366,366,-366
2021-11-22,2758,0,0,0,2758,2758,-2758
2021-11-23,2356,1,0,0,2357,2357,-2357
2021-11-24,2183,3,0,0,2186,2186,-2186
2021-11-25,2946,3,0,0,2949,2949,-2949
2021-11-26,2811,5,0,0,2819,2819,-2816
2021-11-27,966,6,0,0,972,972,-972
2021-11-28,496,5,0,0,501,501,-501
2021-11-29,3581,14,0,0,3595,3595,-3595
2021-11-30,2821,8,0,0,2829,2829,-2829
2021-12-01,1923,7,0,0,1932,1932,-1930
2021-12-02,2336,16,0,0,2352,2352,-2352
2021-12-03,1847,19,1,0,1870,1870,-1867
2021-12-04,1232,13,0,0,1247,1247,-1245
2021-12-05,434,8,0,0,443,443,-442
2021-12-06,3474,34,1,0,3516,3516,-3509
2021-12-07,2255,40,10,0,2308,2308,-2305
2021-12-08,1962,39,0,0,2004,2004,-2001
2021-12-09,2987,62,0,0,3052,3052,-3049
2021-12-10,2229,68,0,0,2299,2299,-2297
2021-12-11,1016,31,0,0,1049,1049,-1047
2021-12-12,399,17,0,0,416,416,-416
2021-12-13,2794,136,0,0,2936,2936,-2930
2021-12-14,2856,181,0,0,3043,3043,-3037
2021-12-15,2183,217,0,0,2405,2405,-2400
2021-12-16,2481,337,1,0,2823,2823,-2819
2021-12-17,1438,190,0,0,1629,1629,-1628
2021-12-18,1280,71,0,0,1351,1351,-1351
2021-12-19,219,26,0,0,245,245,-245
2021-12-20,2191,265,2,0,2465,2465,-2458
2021-12-21,2037,569,2,0,2624,2624,-2608
2021-12-22,1816,267,0,0,2091,2091,-2083
2021-12-23,1576,755,8,0,2348,2348,-2339
2021-12-24,992,219,2,0,1220,1220,-1213
2021-12-25,312,209,0,0,522,522,-521
2021-12-26,698,300,4,0,1009,1009,-1002
2021-12-27,1311,810,4,1,2143,2143,-2126
2021-12-28,935,736,3,0,1677,1677,-1674
2021-12-29,1232,1294,3,0,2533,2533,-2529
2021-12-30,1604,1862,15,0,3484,3484,-3481
2021-12-31,378,682,4,0,1064,1064,-1064
2022-01-01,225,476,0,0,701,701,-701
2022-01-02,457,288,4,0,750,750,-749
2022-01-03,1730,1493,19,1,3246,3246,-3243
2022-01-04,876,1519,30,0,2427,2427,-2425
2022-01-05,693,1502,37,0,2238,2238,-2232
2022-01-06,728,2328,40,1,3116,3116,-3097
2022-01-07,662,1261,42,1,1968,1968,-1966
2022-01-08,157,572,15,0,746,746,-744
2022-01-09,612,412,5,1,1032,1032,-1030
2022-01-10,775,2273,101,0,3169,3169,-3149
2022-01-11,586,2766,71,1,3439,3439,-3424
2022-01-12,308,2084,61,2,2465,2465,-2455
2022-01-13,559,3513,166,2,4249,4249,-4240
2022-01-14,316,2364,91,0,2775,2775,-2771
2022-01-15,59,1092,44,2,1197,1197,-1197
2022-01-16,45,675,42,0,762,762,-762
2022-01-17,253,4303,316,4,4881,4881,-4876
2022-01-18,342,3333,166,2,3854,3854,-3843
2022-01-19,165,2538,169,1,2878,2878,-2873
2022-01-20,132,3073,220,2,3431,3431,-3427
2022-01-21,66,2856,208,0,3137,3137,-3130
2022-01-22,56,695,61,0,812,812,-812
2022-01-23,17,1031,116,0,1165,1165,-1164
2022-01-24,102,3371,351,1,3829,3829,-3825
2022-01-25,116,2950,238,0,3308,3308,-3304
2022-01-26,38,2459,318,0,2820,2820,-2815
2022-01-27,57,2371,270,2,2701,2701,-2700
2022-01-28,65,2198,235,2,2505,2505,-2500
2022-01-29,15,1125,144,1,1287,1287,-1285
2022-01-30,19,2508,519,15,3077,3077,-3061
2022-01-31,26,2634,484,0,3147,3147,-3144
2022-02-01,41,2408,391,4,2848,2848,-2844
2022-02-02,25,1909,393,3,2333,2333,-2330
2022-02-03,29,3589,900,10,4538,4538,-4528
2022-02-04,18,2387,470,3,2883,2883,-2878
2022-02-05,7,769,177,4,959,959,-957
2022-02-06,7,1386,474,1,1869,1869,-1868
2022-02-07,21,2452,753,3,3237,3237,-3229
2022-02-08,12,3419,948,9,4403,4403,-4388
2022-02-09,8,2918,958,9,3935,3935,-3893
2022-02-10,6,2270,841,2,3129,3129,-3119
2022-02-11,8,2438,947,5,3438,3438,-3398
2022-02-12,2,1243,494,2,1743,1743,-1741
2022-02-13,7,958,463,5,1446,1446,-1433
2022-02-14,15,3825,2245,19,6130,6130,-6104
2022-02-15,6,2837,1430,19,4362,4362,-4292
2022-02-16,3,1970,1099,7,3153,3153,-3079
2022-02-17,6,2756,2211,10,4998,4998,-4983
2022-02-18,0,1801,1336,9,0,3163,17
2022-02-19,0,962,782,7,0,1756,5
2022-02-20,2,754,687,4,1458,1458,-1447
2022-02-21,2,1786,1579,9,3391,3391,-3376
2022-02-22,1,1594,1419,6,3023,3023,-3020
2022-02-23,3,1466,1452,11,2938,2938,-2932
2022-02-24,7,1966,2865,10,4872,4872,-4848
2022-02-25,1,1213,1671,10,2907,2907,-2895
2022-02-26,0,812,939,5,0,1761,5
2022-02-27,0,374,579,0,0,953,0
2022-02-28,2,1010,1678,2,2721,2721,-2692
2022-03-01,1,1396,2341,14,3805,3805,-3752
2022-03-02,2,1884,3189,37,5281,5281,-5112
2022-03-03,5,1598,3722,22,5392,5392,-5347
2022-03-04,2,1134,2285,6,3458,3458,-3427
2022-03-05,0,752,1763,2,0,2543,26
2022-03-06,0,605,1682,3,0,2304,14
2022-03-07,1,1121,2828,17,4006,4006,-3967
2022-03-08,0,1085,2890,5,0,4018,38
2022-03-09,0,1290,3577,3,0,4904,34
2022-03-10,0,916,2989,7,0,3922,10
2022-03-11,0,677,2299,6,0,2999,17
2022-03-12,0,423,1567,3,0,1996,3
2022-03-13,0,412,1697,3,0,2123,11
2022-03-14,0,750,3719,10,0,4500,21
2022-03-15,1,757,3511,5,4299,4299,-4274
2022-03-16,0,905,3856,14,0,4803,28
2022-03-17,0,642,3193,9,0,3867,23
2022-03-18,1,452,2325,3,2805,2805,-2781
2022-03-19,0,296,1826,3,0,2134,9
2022-03-20,0,310,2204,2,0,2524,8
2022-03-21,0,473,3473,4,0,3964,14
2022-03-22,1,476,3496,8,3990,3990,-3981
2022-03-23,0,270,2680,5,0,2963,8
2022-03-24,1,342,2301,4,2660,2660,-2648
2022-03-25,0,171,1722,5,0,1903,5
2022-03-26,1,174,1555,2,1734,1734,-1732
2022-03-27,0,89,1029,2,0,1127,7
2022-03-28,0,229,2965,4,0,3206,8
2022-03-29,0,308,3044,1,0,3365,12
2022-03-30,0,257,3094,1,0,3354,2
2022-03-31,0,188,2525,5,0,2731,13
2022-04-01,0,105,1880,5,0,1999,9
2022-04-02,0,93,1497,0,0,1593,3
2022-04-03,0,51,1065,0,0,1117,1
2022-04-04,0,145,2295,1,0,2463,22
2022-04-05,0,186,2780,3,0,2973,4
2022-04-06,0,133,2413,4,0,2563,13
2022-04-07,0,104,2133,1,0,2241,3
2022-04-08,0,69,1448,3,0,1526,6
2022-04-09,5,39,1476,2,1526,1526,-1522
2022-04-10,0,41,1147,0,0,1190,2
2022-04-11,0,61,2142,1,0,2209,5
2022-04-12,0,67,2562,6,0,2644,9
2022-04-13,0,45,1966,6,0,2023,6
2022-04-14,0,27,1370,3,0,1408,8
2022-04-15,0,15,790,1,0,813,7
2022-04-16,0,17,1006,0,0,1028,5
2022-04-17,0,15,824,1,0,845,5
2022-04-18,0,12,684,0,0,699,3
2022-04-19,0,39,928,0,0,972,5
2022-04-20,0,18,674,0,0,697,5
2022-04-21,0,7,505,1,0,516,3
2022-04-22,0,5,274,0,0,279,0
2022-04-23,0,0,2,0,0,2,0
2022-04-24,0,0,2,0,0,2,0
2022-04-25,1,3,225,0,229,229,-229
2022-04-26,0,0,3,0,0,3,0
